B_SW1:1
C1:1
C2:1
C3:1
C4:1
DIMMER1:1
ESP1:1
E_TRIG1:1
F_SENS1:1
HT_RL1:1
I2C1:1
JP1:1
JTAG1:1
PV_RL1:1
P_SENS1:1
P_SW1:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
ROTARY1:1
SCALE1:1
S_LED1:1
S_SW1:1
T_SENS1:1
V_IN1:1
W_SENS1:1
